"Title","Type","Location","Logo","Phone","Fax","Mobile Phone","Member"
"Poo Nannies","EcoBusiness","
  
          Poo Nannies
                  Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/PNlogo_1.jpg","(239) 777-9149","","",""
"A Nurtured World","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        6404 Wilbur Drive              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/NurturedWorldLogo_Leaf.gif","(512) 663-1496","(512) 727-3483","",""
"Blossom Spa Boutique","EcoBusiness","
  
          Blossom Spa Boutique
              
        4224 Duval St Ste B              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/blossom_logo6x6.jpg","(512) 524-5544","","",""
"Eco Centric Massage","EcoBusiness","
  
          Eco Centric Massage and Wellness
              
        17305 Lakehsore Drive                   Between Hgwy 71 and RR 12 Hamilton Pool Rd near the Galleria              
              Dripping Springs,               TX
              78620
                                          
      
      See map: Google Maps    
  ","","(512) 917-0882","","",""
"Chaffin Realty","EcoBusiness","
  
          Office
              
        7211 Lakewood Dr #128              
              Austin,               TX
              78750
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/austingreenhomerealtor_logoalt2.jpg","(512) 796-5492","","",""
"Frank Matusek","EcoBusiness","
  
          South and Central Texas Vendor
              
        807 County Rd. 273              
              Leander,               TX
              78641
                                          
      
      See map: Google Maps    
  ","","(512) 426-0966","(512) 260-9343","",""
"Farm and Ranch Freedom Alliance","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Laura K. Culin","EcoBusiness","
  
          Austin Lumber Company, Inc.
              
        2415 East 5th Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/alc_banner_logo_go_local.jpg","(512) 476-5534(866) 702-9918","(512) 476-8337","",""
"Hummingbird Ecocleaning","EcoBusiness","","","(512) 751-3594","","",""
"Clark | Richardson Architects","EcoBusiness","
  
          Clark | Richardson Architects
              
        E. 8th Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo_shortyellow_0.jpg","(512) 636-7653","","",""
"Sparque Studio","EcoBusiness","","sites/default/files/org_logos/p1lnsp23.jpg","","","",""
"Air Movement","EcoBusiness","
  
          Austin
              
        8700 Brodie Ln suite 431              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 791-8646(512) 524-0747","","",""
"The New SHIRE Institute","EcoCommunity - non-profits, government agencies and community groups.","
  
          The Hundred Acre Wood
              
        21707 Hogeye Rd              
              Manor,               TX
              78653
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/shirelogo_0.png","(512) 240-2482","","",""
"EcoStrategies","EcoBusiness","
  
          all of Texas
              
        12701 West # 2122              
              San Antonio,               TX
              78216
                                          
      
      See map: Google Maps    
  ","","(210) 628-9326","","",""
"Smart Air Service Co","EcoBusiness","","sites/default/files/org_logos/smartair_think.jpg","(512) 600-4311","","",""
"Adbongo, Inc.","EcoBusiness","","","","","",""
"Rebel Green Team","EcoCommunity - non-profits, government agencies and community groups.","
  
          Travis High School
              
        1211 E. Oltorf              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ole_reb.jpg","(512) 841-7403(512) 203-3336","(512) 841-8217","",""
"American Botanical Council","EcoCommunity - non-profits, government agencies and community groups.","
  
          American Botanical Council
              
        6200 Manor Rd.              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","","","","",""
"Austin Parks and Recreation Department","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Parks and Recreation Department
              
        200 S. Lamar              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","","","",""
"American YouthWorks","EcoCommunity - non-profits, government agencies and community groups.","
  
          American YouthWorks Headquarters
              
        1901 E. Ben White Boulevard              
              Austin,               TX
              78741
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/american_youthworks.png","(512) 744-1900","(512) 916-4708","","rmatvy"
"Treasure City Thrift","EcoCommunity - non-profits, government agencies and community groups.","
  
          Treasure City Thrift
              
        2142 E. 7th Street              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/treasure.jpg","","","",""
"Austin Water Conservation","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Water
              
        625 E. 10th St.                   Ste 615 PO Box 1088              
              Austin,               TX
              78767
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/awuwaterconlogo.jpg","(512) 974-2199","","",""
"Coalition of Austin Community Gardens","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/logov1_190.png","","","",""
"Tecolote Organic Farm (CSA)","EcoBusiness","
  
          Tecolote Organic Farm
              
        Decker Lake Rd.              
              Manor,               TX
              78653
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/lh_logo_330x58.gif","(512) 276-7008","","",""
"Bikkurim Farms","EcoBusiness","
  
          Bikkurim Farms
              
        1339 County Road C              
              Lexington,               TX
              78947
                                          
      
      See map: Google Maps    
  ","","(512) 273-2973","","",""
"The Bountiful Sprout, LLC","EcoBusiness","
  
          The Bountiful Sprout, LLC
                  Wimberley,               TX
              78676
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/untitled.jpg","","","",""
"Hairston Creek Farm","EcoBusiness","
  
          Hairston Creek Farm
              
        4300 Co Rd 335               
              Burnet,               TX
              78611
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/untitled_0.jpg","","","",""
"Natural Springs Garden, LLC","EcoBusiness","
  
          Natural Springs Garden
              
        15202 Kinsey Court              
              Austin,               TX
              78734
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/untitled_1.jpg","","","",""
"Ottmer's Family Farm","EcoBusiness","
  
          Ottmer's Family CSA
              
        3685 S. RR 1623              
              Stonewall,               TX
              78671
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/market_1.jpg","","","",""
"Springdale Farm","EcoBusiness","
  
          Springdale Farm
              
        755 Springdale Road              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/untitled_2.jpg","(512) 386-8899","","",""
"Walnut Creek Organic Farms","EcoBusiness","
  
          Walnut Creek Organic Farms
              
        126 Walnut Creek Cove              
              Bastrop,               TX
              78602
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/untitled_3.jpg","(512) 303-3400","","",""
"Little Miss Recycle","EcoBusiness","","sites/default/files/org_logos/favorite_lmr_logo.png","(512) 535-6441","","","Little Miss Recycle"
"kab Green Teens","EcoCommunity - non-profits, government agencies and community groups.","
  
          Schools
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","","","","",""
"Skillshare","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/skillshare_logo-1.jpg","","","",""
"Break It Down","EcoBusiness","","","","","",""
"Webber Energy Group","EcoCommunity - non-profits, government agencies and community groups.","
  
          University of Texas at Austin
              
         1 University Station C2200              
              Austin,               TX
              78712
                                          
      
      See map: Google Maps    
  ","","(512) 475-6867","","",""
"Clean Energy Associates","EcoBusiness","
  
          Austin Energy Associates
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","","","","",""
"Clean Energy for Austin","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"USGBC Central Texas- Balcones Chapter","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"HOLOS Collaborative","EcoBusiness","","","","","",""
"AUSTIN COMMUNITY COLLEGE","EcoCommunity - non-profits, government agencies and community groups.","
  
          ACC - CE & CREDIT ADMISSIONS OFFICE
              
        Highland Business Center (HIGHLAND MALL)                   5930 Middle Fiskville Rd.               
              Austin,               TX
              78752
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/youve_got_options_1.png","(512) 223-7517(512) 223-7542","(512) 223-7030","",""
"Environmental Science Institute","EcoCommunity - non-profits, government agencies and community groups.","
  
          University of Texas - Austin
                  Austin,               TX
              78712
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/esi_logo_-_green__blue_clean.jpg","(512) 471-5847","(512) 232-1913","",""
"Austin Progressive Calendar","EcoCommunity - non-profits, government agencies and community groups.","
  
          Selwyn Polit
              
        5512 Coventry Lane              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/apc_logo.jpg","(512) 696-0410","","","selwynpolit"
"Leonard's Garage & Service Center","EcoBusiness","
  
              
        1401 South Lamar Boulevard              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo-service-olpgn-231x162_0.png","(512) 326-3474","","",""
"Morsco Solar Training","EcoBusiness","
  
          Business Location
              
        8120 Springdale Rd.              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logogwand_morrison_blueback.png","(512) 646-0053","","",""
"ECOactive kids","EcoBusiness","
  
                      TX
                                              
      
      See map: Google Maps    
  ","","(832) 247-9571","","",""
"ECO - PAWS LLC","EcoBusiness","
  
          Downtown and South Austin
              
        Austin Highlands Blvd              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/4x6_lrg_grn_globe_logo_no_add.jpg","(512) 207-0072","","",""
"ACES ( Austin Conservation Environmental Services )","EcoBusiness","
  
          Lake Travis
              
        15217 Sutton Drive                   P.O.Box 341234              
              Austin,               TX
              78734
                                          
      
      See map: Google Maps    
  ","","(512) 266-3433(512) 845-9588","(512) 266-3433","","acestx"
"Green Street - Home Energy Efficiency","EcoBusiness","
  
          Your Home
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","","(973) 568-0077","","",""
"Barton Creek Farmers Market","EcoBusiness","","","(512) 280-1976","","",""
"Yard to Table Gardens","EcoBusiness","","","(517) 242-3649","","",""
"SASS ~ Season All Stuff Sauce","EcoBusiness","
  
          SASS Kitchen
              
        3708 Woodbury Dr.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/sass_logo.gif","(512) 326-3304","","",""
"House + Earth","EcoBusiness","
  
          Place of Business
              
        1214 West 6th Street                   Suite 120              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 300-0484","(512) 300-0499","","yakman51"
"SiriuS Chocolate","EcoBusiness","","","","","",""
"Nurturess","EcoBusiness","","","","","",""
"Forever Green Concrete Forms","EcoBusiness","
  
          San Antonio, Texas
              
        12508 Jones Maltsberger                   Suite 108              
              San Antonio,               TX
              78247
                                          
      
      See map: Google Maps    
  ","","(210) 862-0644","","",""
"Texas Land Conservancy","EcoCommunity - non-profits, government agencies and community groups.","
  
          home base office
              
        6626 Silvermine Drive                   Suite 300              
              Austin,               TX
              78736
                                          
      
      See map: Google Maps    
  ","","(512) 301-6363","(512) 301-6364","",""
"STS Electronic Recycling","EcoBusiness","
  
          STS Electronic Recycling
              
        522 CR 1520              
              Jacksonville,               TX
              75766
                                          
      
      See map: Google Maps    
  ","","(903) 589-3705","(903) 589-3729","",""
"Genesis Gardens","EcoCommunity - non-profits, government agencies and community groups.","
  
          Royal Palms Community Center
              
        2 Olmos Drive              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/mlflogo.jpg","(512) 921-1632","","",""
"Austin Worm Farm","EcoBusiness","
  
              
        304 Tamworth Avenue              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","","(512) 444-0551","","",""
"Austin Heritage Tree Foundation","EcoCommunity - non-profits, government agencies and community groups.","
  
          office
                  Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ahtf_logo2.jpg","(512) 739-5472","","",""
"Pristine Eco-Clean Housekeeping","EcoBusiness","
  
          Austin
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/060416-18-abstract-digital-art-fractal-a-flower-in-the-cosmic-gardenartgallery.jpg","(512) 934-0225","","",""
"upackgreen","EcoBusiness","","","","","",""
"Mary Kraemer of Rosa Milagrosa - Therapeutic Horticulture","EcoBusiness","","sites/default/files/org_logos/mary.jpg","(512) 944-0200","","",""
"Fishpond Content","EcoBusiness","","sites/default/files/org_logos/logo-little_fish_flipped.png","(512) 516-9099","","",""
"Hill Country Natives","EcoBusiness","
  
          Hill Country Natives
              
        308 Mesa Oaks              
              Leander,               TX
              78641
                                          
      
      See map: Google Maps    
  ","","(512) 914-7519","","",""
"Blue Gold Engineering","EcoBusiness","","","(512) 944-0677","(512) 912-1366","",""
"Austin Resource Recovery","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Resource Recovery 
              
        P.O. Box 1088               
              Austin,               TX
              78767
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/arrlogo.jpg","(512) 494-9400","","","AustinResourceR...Aiden Cohen"
"Austin Creative Reuse","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/acr_logo1.png","","","",""
"Hatch Baby Planners, LLC","EcoBusiness","","","(512) 222-9411","","",""
"Eco Kids Preschool","EcoBusiness","
  
          Eco Kids Preschool
              
        8201 Cross Park Dr.              
              Austin,               TX
              78754
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/eco_kids.jpg","(855) 326-5437","","",""
"Food is Free Project","EcoCommunity - non-profits, government agencies and community groups.","
  
          Food is Free Community House
              
        5608 Joe Sayers Ave              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 919-9012","","",""
"Austin Dental Center, PC","EcoBusiness","
  
          Austin Dental Center, PC
              
        2304 Hancock Dr. Suite 1              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 298-1212","","",""
"Precision Heating & Air Conditioning","EcoBusiness","
  
          Precision Heating & Air Conditioning 
              
        8711 Burnet Rd. Ste D-44               
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo_2.jpg","(512) 300-7422","(512) 255-4297","",""
"Electric Avenue Scooters","EcoBusiness","
  
              
        4616 Triangle Ave., Suite 403              
              Austin,               TX
              79751
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/electricavenue.gif","(512) 608-4090(512) 796-0301","","",""
"Keep Austin Gorgeous","EcoBusiness","
  
          Spicewood Business Center
              
        4412 Spicewood Springs Drive                   Suite 1002              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/50284_94640958304_84888_n.jpg","(512) 377-1792","","",""
"Austin Physicians for Social Responsibility","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Austin's Maid Service","EcoBusiness","
  
          Austin's Maid Service
              
        700 Lavaca Suite 1400-2292               
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/austin-maid-service-texas.jpg","(512) 582-2340(512) 582-2340","","",""
"GreenTechFusion.com","EcoBusiness","
  
          Virtual & Mobile Office
              
        20821-D Eva St Suite 34              
              Montgomery,               TX
              77356
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/greentechfusion-logovawt.png","(888) 642-0226(512) 850-6503","","",""
"Trim Electric, Inc","EcoBusiness","
  
          21625 Rhodes Rd Spring, TX 77388
              
        21625 Rhodes Rd              
              Spring,               TX
              77388
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/trim_electric.jpg","(281) 376-3838","(713) 581-4608","",""
"Leonard's Garage & Service Center","EcoBusiness","","","(512) 445-2892(512) 445-2892","","",""
"Beyt Lynch Design","EcoBusiness","
  
          Beyt Lynch Design
                  Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/beytlynchdesign_logo_final-1.jpg","(512) 861-5950(512) 633-2643","(512) 861-5950","",""
"ZeroLandfill - Austin","EcoCommunity - non-profits, government agencies and community groups.","
  
          Workplace Resource Warehouse
              
        4509 Freidrich Lane, Bldg 4 Suite 418              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/zerolandfill_0.jpg","","","",""
"EcoStrategies","EcoBusiness","
  
          South Texas 
              
        2122 Bedford Stage              
              San Antonio,               TX
              78213
                                          
      
      See map: Google Maps    
  ","","(210) 628-9326","","",""
"SprinkWise LLC","EcoBusiness","
  
          SprinkWise
              
        206 Kati Lane              
              Cedar Park, TX,               TX
              78665
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/sprinkwise_logo_name_under.png","(512) 799-4383","","",""
"Chess Telecom","EcoBusiness","
  
          Heyes Lane
                  Alderly Edge                  SK97JP
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/chess.jpg","","","",""
"Permaculture Education Center","EcoBusiness","","sites/default/files/org_logos/perm.jpg","","","",""
"Permaculture Education Center","EcoBusiness","
  
                      NC
                                              
      
      See map: Google Maps    
  ","","","","",""
"Permaculture Education Center","EcoBusiness","","sites/default/files/org_logos/logo-permacultureeducation-4-learnpermdesign-test-177x104.png","","","",""
"Soapnuts R US","EcoBusiness","","","(512) 734-1294","","",""
"Whirled Peas Baby Food, llc","EcoBusiness","
  
              
        1208 W. Fourth St              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 222-7327","","",""
"Habitable Spaces","EcoCommunity - non-profits, government agencies and community groups.","
  
                      TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/habitable_spaces_green_logo.jpg","(917) 613-6016(917) 755-9436","","",""
"Austin Film Society","EcoBusiness","
  
          Austin Studios
              
        1901 E 51st St              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/afsbig.jpg","(512) 322-0145","","",""
"The Butterfly Garden","EcoBusiness","
  
          The Butterfly Garden
                  Cedar Park,               TX
              78613
                                          
      
      See map: Google Maps    
  ","","(512) 786-9215","","",""
"Edendell Farms","EcoBusiness","
  
          Edendell Farms
              
        CR 403              
              Dime Box,               TX
              77853
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ef1thumbnail.png","(626) 475-7694","","",""
"Greenbelt Solar: Affordable Solar Installations","EcoBusiness","
  
          Corporate Headquarters
              
        6305 Sanderson Ave., Ste. 1101              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/greenbelt_solar_logo_low_res.jpg","(512) 627-6622","","",""
"Finca de la Luna Vineyards and Wedding Venue","EcoBusiness","
  
          Finca de la Luna Vineyards and Venue
              
        3920 CR 2207              
              Lampasas,               TX
              76550
                                          
      
      See map: Google Maps    
  ","","(512) 680-0908","","",""
"YardFarm","EcoBusiness","
  
          FarmFarm
              
        7204 Shelton Rd              
              Austin,               TX
              78725
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/yf_logo.jpg","(512) 961-7117","","",""
"YardFarm","EcoBusiness","
  
          FarmFarm
              
        7204 Shelton Rd              
              Austin,               TX
              78725
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/yf_logo_0.jpg","(512) 961-7117","","",""
"Alaina Paul","EcoBusiness","
  
          2645 Edgehill Ave, Virginia Beach, VA 23454
              
        2645 Edgehill Ave              
              Virginia Beach,               VA
              23454
                                          
      
      See map: Google Maps    
  ","","(454) 545-5454(784) 367-5789","(456) 321-5997","",""
"The Green Fairy","EcoBusiness","
  
                  Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/newestlogosmall.jpg","(512) 351-3352","","",""
"Preschool Preview - All Things Preschool Fair","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/preschool_preview_summer.jpg","(512) 537-6225","","",""
"Affordable Austin Roofing Solutions","EcoBusiness","
  
          Affordable Austin Roofing Solutions
              
        7000 N Mopac Expy #200-A1              
              Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/affordable_austin_roofing_solutions.png","(512) 843-8013","","",""
"Affordable Austin Roofing Solutions","EcoBusiness","
  
          Affordable Austin Roofing Solutions
              
        7000 N Mopac Expy #200-A1              
              Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/affordable_austin_roofing_solutions_0.png","(512) 843-8013(512) 843-8013","","",""
"Lane Chiropractic & Rehabilitation","EcoBusiness","
  
          Shops at Arbor Trails
              
        4301 W William Cannon Suite B300              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","","(512) 949-3636","","",""
"Lane Chiropractic & Rehabilitation","EcoBusiness","
  
          Shops at Arbor Trails
              
        4301 W William Cannon Suite B300              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/lcr_logo_for_pta.jpg","(512) 949-3636","","",""
"Growin' Together Hands-On Afterschool Program","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin EcoSchool
              
        4105 Manchaca               
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/growintogether-verticallogo.png","(512) 537-0955","","",""
"Texas Saké Company","EcoBusiness","
  
          Texas Saké Kura
              
        5501 N Lamar A115              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logogold_s.png","(512) 772-1282","","",""
"Circular Energy","EcoBusiness","
  
          Circular Energy
              
        2111 Braker Lane                   Suite 600              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/circular-logo-big.jpg","(866) 274-5578","(512) 904-8151","","Circular Energy"
"Austin VIP Limo","EcoBusiness","
  
          Office
              
        4807 Spicewood Springs Road                   Building 2, Suite 405              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/austin-limousine.jpg","(512) 298-4005","(512) 990-5656","",""
"Trilogy Restoration","EcoBusiness","
  
          Austin, TX
                  Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo_3.jpg","(512) 804-2490","","",""
"Trilogy Restoration","EcoBusiness","
  
          Austin, TX
              
        5214 Burleson Rd., Suite 207                   5214 Burleson Rd., Suite 207              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo_4.jpg","(512) 804-2490","","",""
"SolPowerPeople, Inc.","EcoBusiness","
  
          Training Center
              
        5035 Highway 71 East              
              Deo Valle,               TX
              78617
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/solpowerpeople.png","(855) 765-7693(512) 547-8084","","",""
"Community Cultivators","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Texas Organic Farmers & Gardeners Association","EcoCommunity - non-profits, government agencies and community groups.","
  
          Office
              
        P.O. Box 48              
              Elgin,               TX
              78621
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/06.jpg","(512) 646-2456","","",""
"Jane Clark - THE Mckinney Realtor - Keller Williams","EcoBusiness","
  
          McKinney, TX
              
        6951 Virginia Parkway #100              
              McKinney,               TX
              75071
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/realtor-mckinney-tx-75071_0.jpg","(972) 562-8883(214) 802-4680","","",""
"Jane Clark - THE Mckinney Realtor - Keller Williams","EcoBusiness","","sites/default/files/org_logos/realtor-mckinney-tx-75071_1.jpg","","","",""
"Austin Bus Adventures","EcoBusiness","
  
          Austin, Texas
              
        101 W 6th St              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/drink_ride_party_on.jpg","(512) 234-7433","","",""
"Sustainacycle Sustainable Living Center","EcoBusiness","
  
          Sustainacycle Sustainable Living Center
              
        409 W Center Street              
              Kyle,               TX
              78640
                                          
      
      See map: Google Maps    
  ","","(512) 504-3221","","",""
"in.gredients","EcoBusiness","
  
          in.gredients
              
        2610 Manor Rd              
              Austin,               TX
              78722
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/in.gredients_logo_highres.jpeg","(512) 275-6357","","",""
"EcoClean","EcoBusiness","
  
          EcoClean Guadalupe
              
        2915 Guadalupe              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ecoclean_logo_blue.jpg","(512) 236-8645","","",""
"All Seasons Nursery","EcoBusiness","
  
          All Seasons Nursery
              
        One Nursery Road              
              Georgetown,               TX
              78628
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/all_seasons_nursery_logo.png","(512) 863-8541(800) 637-4823","(512) 863-9861","",""
"Barton Creek Farmers Market","EcoBusiness","
  
          River Place River Lodge
              
        10301 Ranch Rd. 2222, #2122              
              Austin,               TX
              78730
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/barton_creek_farmers_market_header.jpeg","(512) 443-0123","","","Debrah"
"Webber Energy Group","EcoCommunity - non-profits, government agencies and community groups.","","sites/default/files/org_logos/weglogosept2012.jpg","","","",""
"R.O.O.T.S. Ecovillage","EcoCommunity - non-profits, government agencies and community groups.","
  
          R.O.O.T.S. Ecovillage
              
        1708 Fortview Rd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/roots1.jpg","(903) 279-7791","","",""
"El Ranchito","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        707 W. 10th Street              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/elr_logo_stack.jpg","(512) 476-4816","","",""
"Hill Country Arborist","EcoBusiness","
  
              
        8912 Circle Dr. C              
              Austin,               TX
              78736
                                          
      
      See map: Google Maps    
  ","","(512) 394-1427(512) 826-6966","","",""
"RAIN COLLECTION UNLIMITED INC.","EcoBusiness","","sites/default/files/org_logos/rcu_icon_5.jpg","(512) 850-6728","","",""
"Verona Ristorante Italiano","EcoBusiness","
  
          Verona Ristorante Italiano
              
        6406 North Interstate Highway 35 #2904              
              Austin,               TX
              78722
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo.jpeg","(512) 458-3500","(512) 458-3500","",""
"Ecolove","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Ecolove","EcoCommunity - non-profits, government agencies and community groups.","
  
          East avenue lounge
              
        90 n IH-35              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(630) 379-3660","","",""
"Austin Parks Foundation","EcoCommunity - non-profits, government agencies and community groups.","
  
          Mailing Address
              
        PO Box 300369              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/apflogo.jpg","(512) 477-1566","","",""
"Texas Renewable Energy Industries Association (TREIA)","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        P.O. Box 10023              
              Austin,               TX
              78766
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/txflag.jpg","(512) 345-5446","(512) 345-6831","",""
"Purse & Clutch","EcoBusiness","
  
          Online Only
                  Austin,               TX
                                              
      
      See map: Google Maps    
  ","sites/default/files/org_logos/purse_clutch_logo_-_smaller.png","(512) 222-7382","","",""
"Marni Evans Sustainability","EcoBusiness","","sites/default/files/org_logos/firestarter_logo.png","(512) 917-0987","","",""
"Earth Energy Unlimited","EcoBusiness","
  
          United States
              
        150 Lydick Lane - Warehouse              
              Kerrville,               TX
              78028
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/logo-200.jpg","(210) 370-7801(210) 370-7801","","",""
"Go Green Squads","EcoBusiness","
  
          Go Green Squads
              
        1206 E Live Oak Street              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/cmykbeefy_high_res_jpeg.jpg","(512) 326-9300","(512) 326-9300","",""
"Go Green Squads","EcoBusiness","
  
          Go Green Squads
              
        1206 E Live Oak St.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 326-9300","(512) 326-9300","",""
